
Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds	DS
131	SUFE Encounter		4th	3rd	2nd	4th	3rd	2nd	6	892	0	2	125
132	DKU Deep Fried Oreos		2nd	4th	4th	3rd	1st	4th	6	890	1	1	137
133	FDU A		4th	2nd	1st	3rd	4th	4th	6	888	1	1	156
134	Agile Minds	Under 14	3rd	4th	3rd	4th	3rd	1st	6	886	1	0	111
135	MUST C		4th	3rd	4th	1st	3rd	3rd	6	882	1	0	130
136	MUST D		3rd	2nd	4th	3rd	4th	3rd	5	898	0	1	135
137	Eighteen		4th	4th	2nd	4th	4th	1st	5	893	1	1	104
138=	shella	Under 14	4th	3rd	4th	3rd	1st	4th	5	891	1	0	144
138=	DeepSick	Under 14	4th	3rd	1st	4th	3rd	4th	5	891	1	0	130
140	Abnormal		2nd	4th	3rd	4th	3rd	3rd	5	891	0	1	123
141	DKUAE		3rd	4th	3rd	3rd	2nd	4th	5	887	0	1	125
142	GMUK C		4th	4th	2nd	2nd	4th	3rd	5	886	0	2	125
143	GMUK A		4th	4th	2nd	1st	4th	4th	5	881	1	1	136
144=	Gambetto		4th	3rd	4th	4th	2nd	2nd	5	879	0	2	119
144=	Charlie Bucket	Under 14	4th	3rd	4th	2nd	2nd	4th	5	879	0	2	115
146	GDP 2	Under 14	3rd	3rd	4th	3rd	3rd	4th	4	884	0	0	129
147	Nova Cannot Eat Wine	Under 16	4th	3rd	4th	1st	4th	4th	4	883	1	0	127
148	Titan	Under 14	3rd	2nd	4th	4th	4th	3rd	4	879	0	1	142
149	GMUK B		4th	4th	3rd	3rd	4th	2nd	4	876	0	1	120
150	LOZO IDK	Under 14	4th	2nd	3rd	4th	4th	4th	3	892	0	1	112
151	Swing B		—	—	4th	4th	3rd	4th	1	565	0	0	69
152	Swing A		—	—	4th	4th	4th	3rd	1	541	0	0	58
153	Hdkwodndi		4th	4th	3rd	—	—	—	1	440	0	0	73
154	Socratic Sparks		4th	4th	—	—	—	—	0	301	0	0	48


Rk	name	category	team	R1	R2	R3	R4	R5	R6	Total	Stdev	Avg
1	Conna Leslie-Keefe	Open	Team Australia	79	82	83	82	80	82	488	1.37	81.33
2	Lachie Doyle	Open	Team Australia	79	82	83	81	80	81	486	1.29	81.00
3	Eze Nwakuba	Open	Shanghai Oreo	78	80	80	80	80	82	480	1.15	80.00
4	Andrews Terku	Open	Team Africa	79	79	81	80	81	79	479	0.90	79.83
5	Ricky Jin	Open	We&#x27;re not invited	77	81	80	81	80	79	478	1.37	79.67
6	Kyrstal Wang	Over 16	CW KH	80	82	79	81	79	77	478	1.60	79.67
7	Erasmus Segbefia	Open	Team Africa	79	79	80	79	81	79	477	0.76	79.50
8	Diggory Waddle	Open	Shanghai Oreo	78	78	79	80	81	80	476	1.11	79.33
9	Anders Cairns Woodruff	Open	Mchua A	77	81	80	80	79	79	476	1.25	79.33
10	Stellar Zhang	Open	Mchua A	78	80	79	81	79	78	475	1.07	79.17
11	Vincent Ying	Over 16	CW BV	79	78	77	83	79	79	475	1.86	79.17
12	Bo Xin Zhao	Over 16	CW BV	79	79	77	83	78	79	475	1.86	79.17
13	Tobi	Open	Nova MT	78	76	79	80	79	82	474	1.83	79.00
14	Junbeom Lee	Open	Xiao Bai	79	78	78	80	79	79	473	0.69	78.83
15	Lilian Song	Over 16	CW LL	79	78	80	78	78	80	473	0.90	78.83
16=	Jaedong Jeong	Open	Xiao Bai	79	77	79	80	78	80	473	1.07	78.83
16=	Daisy Jin	Open	We&#x27;re not invited	77	80	79	80	79	78	473	1.07	78.83
18	Leah Del Fierro	Over 16	CW LL	80	78	80	77	78	80	473	1.21	78.83
19	Thiva	Open	RSG Sapphire	78	78	79	77	80	81	473	1.34	78.83
20	Hosei Kishida	Over 16	CW KH	77	80	78	80	79	77	471	1.26	78.50
21	Koki Kishida	Under 16	CW CK	77	79	77	81	78	79	471	1.38	78.50
22	Ruisi He	Over 16	CW RC	78	78	79	79	77	79	470	0.75	78.33
23	Carol Xu	Open	Carelle	78	77	76	78	82	79	470	1.89	78.33
24	Brandon Ma	Over 16	CW AB	79	73	81	79	76	82	470	3.04	78.33
25=	Sophia Xie Gong	Over 16	CW CS	79	77	78	79	78	78	469	0.69	78.17
25=	Albert Zhang	Over 16	CW AE	78	78	77	79	79	78	469	0.69	78.17
27	Caitlin Ma	Under 14	CW CK	76	78	77	80	78	80	469	1.46	78.17
28	Arunwan Areeanchuleekorn（Ping)	Over 16	We don’t have a 1st speaker	77	78	78	76	81	79	469	1.57	78.17
29	Jaxon Xie	Under 16	CW JH	78	76	80	81	77	77	469	1.77	78.17
30	Tumen-Amgalan Tumentsogt	Open	CityUHK A	76	79	76	78	78	82	469	2.03	78.17
31	Jasmine Gao	Under 16	CW JI	79	76	79	78	79	77	468	1.15	78.00
32	Kit Pong Moses Lai	Over 16	Mmmmm, K	74	78	80	78	78	80	468	2.00	78.00
33	Alex Wang	Over 16	CW AI	80	79	77	76	75	81	468	2.16	78.00
34	Andrew Mao	Open	Mr Hobo	78	80	81	75	79	75	468	2.31	78.00
35	Chingwei Zhou	Over 16	CW CS	78	78	78	78	78	77	467	0.37	77.83
36	Jasmine Ziao Chen	Under 16	strawberry	78	77	77	79	78	78	467	0.69	77.83
37	Teresa Chen	Over 16	CW TG	77	79	78	79	76	78	467	1.07	77.83
38	Grace Chen	Over 16	CW TG	77	79	78	79	76	78	467	1.07	77.83
39	Ida Joung	Over 16	CW AI	78	79	77	77	75	81	467	1.86	77.83
40	Kaikai Wu	Over 16	Mmmmm, K	74	78	80	78	78	79	467	1.86	77.83
41	Smart Lee	Open	Smart is just an Adjective to descr	74	79	79	78	76	81	467	2.27	77.83
42	Arthur Qu	Over 16	CW AB	79	72	80	79	75	82	467	3.34	77.83
43=	Gina Hu	Over 16	CW MG	78	78	78	79	76	77	466	0.94	77.67
43=	Ethan Rana	Under 16	XxNoBossJustHacksxX	76	78	78	77	79	78	466	0.94	77.67
45	Cici Chen	Under 16	CW RC	76	76	79	78	78	79	466	1.25	77.67
46	Haesol Park	Over 16	CW JH	78	76	80	79	77	76	466	1.49	77.67
47	Cong Cong	Under 16	CW AC	77	78	78	78	81	74	466	2.05	77.67
48	Antonio Wei	Open	Smart is just an Adjective to descr	73	79	78	79	76	81	466	2.56	77.67
49=	Martina Wu	Over 16	CW MG	78	79	77	78	76	77	465	0.96	77.50
49=	Piers Ko	Under 16	CW TP	79	78	76	77	77	78	465	0.96	77.50
49=	Daniel Qiyang Huang	Open	SUFE A	77	77	78	78	79	76	465	0.96	77.50
52	JOHNNY JIANG	Over 16	LOZO JAYJAY	77	77	77	77	80	77	465	1.12	77.50
53	Nina Diwen Zeng	Open	Name Pending（Please Hold）	77	77	79	79	78	75	465	1.38	77.50
54	Yifu Xing	Over 16	CW YM	75	78	78	79	76	79	465	1.50	77.50
55	Elle Tang	Open	Carelle	76	78	76	77	81	77	465	1.71	77.50
56	Wendy Lian连佳怡	Open	Enemies to partners	77	75	78	77	77	81	465	1.80	77.50
57	Ivy Youqi Yu	Open	Charli XCX? We are Careless XXX	79	71	77	79	80	79	465	3.04	77.50
58	Eric Chen	Under 16	CW AE	77	77	78	77	78	77	464	0.47	77.33
59=	Erica Li	Over 16	CW ME	78	78	76	78	76	78	464	0.94	77.33
59=	Isabella Zhu	Under 14	CW JI	77	76	79	77	78	77	464	0.94	77.33
61	Carl Fang	Over 16	CW SC	76	79	78	78	75	78	464	1.37	77.33
62	Owen Wu	Over 16	XxNoHacksJustBossxX	77	78	75	76	78	80	464	1.60	77.33
63	Kevin Sun	Under 16	Nova Composites 50% of this team	79	79	78	79	76	73	464	2.21	77.33
64	Tony Shu	Over 16	Mario flower	75	80	75	79	80	75	464	2.36	77.33
65	Cyrus Sze Long Leung	Under 16	strawberry	78	77	76	78	77	77	463	0.69	77.17
66	Emi Ruijs	Under 16	guava	78	77	78	76	76	78	463	0.90	77.17
67=	Alicia Rui Jia Zou	Over 16	Capstone AJ	79	77	76	78	77	76	463	1.07	77.17
67=	Jeffrey Shen	Over 16	Capstone AJ	78	77	78	78	77	75	463	1.07	77.17
67=	ELISA ZHANG	Under 16	LOZO - Wait Please No	77	77	78	75	78	78	463	1.07	77.17
67=	Lindon Shen	Over 16	XxNoBossJustHacksxX	76	77	76	77	79	78	463	1.07	77.17
71	Theodore Wang	Under 16	CW TP	79	78	75	77	78	76	463	1.34	77.17
72	Phetkitt Chor. Akachai (Pippo)	Over 16	We don’t have a 1st speaker	75	78	78	75	78	79	463	1.57	77.17
73	Vivian Wang	Open	Everlasting Passion	78	80	75	78	76	76	463	1.67	77.17
74	Mimi Jiang	Over 16	CW YM	75	76	77	80	76	79	463	1.77	77.17
75=	Marcus Lu	Over 16	CW ME	79	78	76	78	73	79	463	2.11	77.17
75=	Adam Pei	Over 16	Mario flower	74	80	75	78	79	77	463	2.11	77.17
77	Emma Song	Under 16	LOZO - Wait Please No	76	77	77	77	77	78	462	0.58	77.00
78	Harith Danial	Open	Nova Basketboy	78	78	76	76	77	77	462	0.82	77.00
79	Ta Huy Hieu	Open	Silver Fainted	77	76	77	79	77	76	462	1.00	77.00
80	Bobby Zhi Liu	Over 16	Madam Chair, the Global Poor	75	76	78	78	77	78	462	1.15	77.00
81=	Sophia Wu	Over 16	CW SC	76	79	78	77	75	77	462	1.29	77.00
81=	Ziyu Yang	Open	Name Pending（Please Hold）	76	77	79	78	77	75	462	1.29	77.00
83	Ithuriel Shen	Open	Nova MT	77	74	77	77	78	79	462	1.53	77.00
84	Ariel Lu	Over 16	CW AC	76	79	77	78	78	74	462	1.63	77.00
85	Donny Dongni Cao	Over 16	Madam Chair, the Global Poor	76	77	77	77	77	77	461	0.37	76.83
86	Joey Yi Jiang	Under 16	CW JB	78	76	78	77	76	76	461	0.90	76.83
87	Cynthia Yu	Under 14	One moment	78	77	77	77	75	77	461	0.90	76.83
88=	Athena Wu	Under 14	One moment	78	77	78	76	75	77	461	1.07	76.83
88=	Fuqin Lian	Over 16	Blue Sky Kindergarten	78	75	77	78	77	76	461	1.07	76.83
88=	Zhong Jun Zhe	Over 16	PLKC A	77	77	78	76	75	78	461	1.07	76.83
88=	Jerry Chen	Under 16	RSG Sapphire	76	76	76	77	77	79	461	1.07	76.83
92	Philippa Yutong Guo	Open	SUFE A	77	76	78	79	77	74	461	1.57	76.83
93	JOSIE ZHAO	Over 16	LOZO JAYJAY	78	76	75	78	79	75	461	1.57	76.83
94	Yeonseo Kim	Under 16	Iphone SE	75	79	78	77	74	78	461	1.77	76.83
95	Crystal Liao	Over 16	Schrodingers arguments	79	73	76	75	77	81	461	2.61	76.83
96	Wong Kwan Yin Mendoza	Open	CityUHK A	76	76	76	77	77	78	460	0.75	76.67
97	Ye Zixi	Open	This is a wug	75	76	77	77	77	78	460	0.94	76.67
98	Liang Shuran	Over 16	PLKC A	76	76	78	77	75	78	460	1.11	76.67
99=	Sakolphat Iamsamer	Under 16	Tung-Oh Go Away!	75	78	77	75	77	78	460	1.25	76.67
99=	Bella Xinying Shen	Under 16	Chocolate taco	77	75	78	77	75	78	460	1.25	76.67
101	Ashita Chandraprabha	Under 16	Tung-Oh Go Away!	75	78	77	75	76	79	460	1.49	76.67
102	Mengjia Chen	Open	Two unprofessional dancers	75	78	76	75	79	77	460	1.49	76.67
103	Jake Ip	Under 16	Iphone SE	75	78	78	78	74	77	460	1.60	76.67
104=	Archie Wang Sizhe	Open	Enemies to partners	77	74	77	77	75	80	460	1.89	76.67
104=	James Yin	Over 16	XxNoHacksJustBossxX	77	77	74	75	77	80	460	1.89	76.67
106=	Nemo Cai	Under 16	CW NK	77	76	76	75	77	78	459	0.96	76.50
106=	Ethel Yuxin Song	Open	MUST A	76	78	77	77	76	75	459	0.96	76.50
106=	Eden Li	Over 16	very mindful, very demure	76	77	76	77	75	78	459	0.96	76.50
109	Bonnie Lezhi Liu	Under 16	CW JB	77	76	79	76	75	76	459	1.26	76.50
110	Lisa Tang	Over 16	Nova Composites 50% of this team	77	77	77	78	77	73	459	1.61	76.50
111=	Muhammad Ibrahim Ali Shah	Open	DKU Chipakam	77	78	73	77	78	76	459	1.71	76.50
111=	Chun Hei Li	Open	Mr Hobo	76	78	77	75	79	74	459	1.71	76.50
113	Christa Zhu	Under 14	RSG Red	77	76	76	76	77	76	458	0.47	76.33
114	Joy Xie	Under 16	GDP 1	75	77	76	77	77	76	458	0.75	76.33
115	Lee Ming Zhou	Over 16	Exons	76	76	76	76	76	78	458	0.75	76.33
116=	Emma Demopoulos	Under 16	guava	75	76	77	76	76	78	458	0.94	76.33
116=	Wendy Zhang	Open	Everlasting Passion	76	78	75	77	76	76	458	0.94	76.33
116=	Chenglin Yu	Over 16	Blue Sky Kindergarten	78	75	77	76	76	76	458	0.94	76.33
119	Oliver Yang Zhou	Open	MUST A	75	77	78	77	76	75	458	1.11	76.33
120=	Sara Saiprasad	Under 16	RSG Gold	71	78	76	78	78	77	458	2.49	76.33
120=	Elsa Guo	Over 16	Schrodingers arguments	79	73	76	74	76	80	458	2.49	76.33
122	Gisele Bao	Under 14	Time is ticking！！！	78	75	77	76	76	75	457	1.07	76.17
123=	Swan Zhang	Over 16	very mindful, very demure	77	77	76	76	74	77	457	1.07	76.17
123=	Zhang Luning	Open	This is a wug	76	74	76	77	77	77	457	1.07	76.17
123=	Bella Lent	Under 16	RSG Silver	78	76	75	77	75	76	457	1.07	76.17
126=	Phan Anh	Under 14	VADP HDPA	75	77	75	77	75	78	457	1.21	76.17
126=	Jin Han	Under 14	Hallabong 2	77	75	77	77	74	77	457	1.21	76.17
128=	Gem Gemin Liu	Open	Oriental Alchemists	76	77	75	78	77	74	457	1.34	76.17
128=	Monica ziyue zhang	Under 16	Chocolate taco	77	75	77	76	74	78	457	1.34	76.17
130	Ryan Zhang	Over 16	CW JR	76	77	75	74	79	76	457	1.57	76.17
131	DAVID JIANG	Over 16	LOZO - I’ll ask Charlotte	78	76	73	78	77	75	457	1.77	76.17
132=	Maciej Matuszczak	Open	DKU are you sober?	75	76	77	75	76	77	456	0.82	76.00
132=	Milly	Open	Bluestone	75	76	75	77	76	77	456	0.82	76.00
134	Emma Xinyi Ying	Open	Jellycat lovers	77	76	76	74	76	77	456	1.00	76.00
135=	Matias Li	Over 16	CW MO	78	75	75	75	77	76	456	1.15	76.00
135=	Bowen Brian Deng	Under 16	B&amp;I	76	78	74	76	76	76	456	1.15	76.00
135=	Hoang Duong	Under 14	VADP HDPA	75	77	74	77	76	77	456	1.15	76.00
135=	Devy Han Lecheng	Over 16	Starberry	76	76	76	74	78	76	456	1.15	76.00
139=	James Li	Over 16	CW JR	76	76	77	74	78	75	456	1.29	76.00
139=	Kaelyn Yu	Under 16	CW EK	76	74	78	75	76	77	456	1.29	76.00
139=	Jackson Wang	Over 16	Starberry	77	76	75	74	78	76	456	1.29	76.00
142	Eric Yiming Chen	Under 16	Motion Sickness	74	78	76	75	77	76	456	1.29	76.00
143	Lewis Wu	Under 16	CW LJ	75	74	78	77	77	75	456	1.41	76.00
144	Patricia Eileen	Open	Patina	78	76	77	74	77	74	456	1.53	76.00
145	John Jae Mcilroy	Under 16	Hallabong 1	75	79	77	76	73	76	456	1.83	76.00
146	Christina Zhang	Under 16	RSG Gold	71	77	76	77	78	77	456	2.31	76.00
147=	Grace Mu	Under 16	RSG Silver	77	75	75	76	76	76	455	0.69	75.83
147=	Cindy You	Under 16	RSG Red	76	75	76	76	75	77	455	0.69	75.83
149	Jerry Hu	Under 16	GDP 1	74	77	76	76	76	76	455	0.90	75.83
150=	Kevin Hu	Under 16	CW NK	75	75	75	76	77	77	455	0.90	75.83
150=	Lauren Liu Yang Qian	Under 14	Talk That Sheet	77	76	76	76	74	76	455	0.90	75.83
152=	Sarah Choi	Under 16	Autumn Girls	76	77	77	75	74	76	455	1.07	75.83
152=	Vu Khai Nguyen	Under 14	VADP LN	76	74	77	77	75	76	455	1.07	75.83
154=	Dora Wang	Under 16	Swing 250	76	76	76	74	75	78	455	1.21	75.83
154=	Elsa Lu	Under 14	Bluestone	77	75	74	77	75	77	455	1.21	75.83
