
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
Welcome to the Hotel California	2nd	Closing Opposition	View Ballot	Tanvir ShahriarⒸ , Molly Callaghan , Muhammad Asfandyar
Yale ST	2nd	Opening Government	View Ballot	Arturo Serrano BorreroⒸ , Manuel Machorro
HH The Last Dance	1st	Opening Opposition	View Ballot	Arturo Serrano BorreroⒸ , Manuel Machorro
Stanford KR	4th	Closing Government	View Ballot	Arturo Serrano BorreroⒸ , Manuel Machorro
Queen&#x27;s Lily Larkins	3rd	Closing Opposition	View Ballot	Arturo Serrano BorreroⒸ , Manuel Machorro
Stanford QF	1st	Opening Government	View Ballot	Audrey MelodyⒸ , Hayley Cheung , James LewisⓉ
maybe I&#x27;m delusional ☝️ debate is 	3rd	Opening Opposition	View Ballot	Audrey MelodyⒸ , Hayley Cheung , James LewisⓉ
HH Xi Simping	2nd	Closing Government	View Ballot	Audrey MelodyⒸ , Hayley Cheung , James LewisⓉ
ITESM TOLUCA SS	4th	Closing Opposition	View Ballot	Audrey MelodyⒸ , Hayley Cheung , James LewisⓉ
HWS C	3rd	Opening Government	View Ballot	Isolda VelaⒸ , Casey Powell
Queen&#x27;s Annika Tucker	4th	Opening Opposition	View Ballot	Isolda VelaⒸ , Casey Powell
Paradise City	1st	Closing Government	View Ballot	Isolda VelaⒸ , Casey Powell
HH VAMOSSSSSS	2nd	Closing Opposition	View Ballot	Isolda VelaⒸ , Casey Powell
Stanford BD	4th	Opening Government	View Ballot	Ken TieuⒸ , Jorge Alberto Galindo Jasso , Preethi Mohan
HH $2.4 Million Settlement	2nd	Opening Opposition	View Ballot	Ken TieuⒸ , Jorge Alberto Galindo Jasso , Preethi Mohan
Harvard AL	3rd	Closing Government	View Ballot	Ken TieuⒸ , Jorge Alberto Galindo Jasso , Preethi Mohan
HWS A	1st	Closing Opposition	View Ballot	Ken TieuⒸ , Jorge Alberto Galindo Jasso , Preethi Mohan
Alberta A	3rd	Opening Government	View Ballot	Fernanda Crousillat RayterⒸ , Nitin Alagu , Eric Guadarrama CruzⓉ
UCBerkeley AD	2nd	Opening Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Nitin Alagu , Eric Guadarrama CruzⓉ
PandITAM	4th	Closing Government	View Ballot	Fernanda Crousillat RayterⒸ , Nitin Alagu , Eric Guadarrama CruzⓉ
McGill RM	1st	Closing Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Nitin Alagu , Eric Guadarrama CruzⓉ
USC BK	3rd	Opening Government	View Ballot	Felix LeonhardtⒸ , Arturo Aubry , Gianluca Lo Porto
UCBerkeley XK	1st	Opening Opposition	View Ballot	Felix LeonhardtⒸ , Arturo Aubry , Gianluca Lo Porto
Columbia A	2nd	Closing Government	View Ballot	Felix LeonhardtⒸ , Arturo Aubry , Gianluca Lo Porto
TEC CEM Chile Relleno	4th	Closing Opposition	View Ballot	Felix LeonhardtⒸ , Arturo Aubry , Gianluca Lo Porto
Yale LM	3rd	Opening Government	View Ballot	Juanita Hincapié RestrepoⒸ , Emily Zhang , Regina Delgado AcevedoⓉ
Last Hurrah	1st	Opening Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Emily Zhang , Regina Delgado AcevedoⓉ
Middlebury SW	4th	Closing Government	View Ballot	Juanita Hincapié RestrepoⒸ , Emily Zhang , Regina Delgado AcevedoⓉ
EDS A	2nd	Closing Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Emily Zhang , Regina Delgado AcevedoⓉ
Californication	3rd	Opening Government	View Ballot	Daksha PillaiⒸ , Meg Kandarpa , Jack MorgensteinⓉ
Dartmouth A	2nd	Opening Opposition	View Ballot	Daksha PillaiⒸ , Meg Kandarpa , Jack MorgensteinⓉ
Dartmouth B	4th	Closing Government	View Ballot	Daksha PillaiⒸ , Meg Kandarpa , Jack MorgensteinⓉ
Harvard HS	1st	Closing Opposition	View Ballot	Daksha PillaiⒸ , Meg Kandarpa , Jack MorgensteinⓉ
Queen&#x27;s Nimai Abernethy	2nd	Opening Government	View Ballot	Rohan GodaⒸ , Silin Wei , Vallerya Acuna
Stanford TY	1st	Opening Opposition	View Ballot	Rohan GodaⒸ , Silin Wei , Vallerya Acuna
SCREEE	4th	Closing Government	View Ballot	Rohan GodaⒸ , Silin Wei , Vallerya Acuna
Stanford AG	3rd	Closing Opposition	View Ballot	Rohan GodaⒸ , Silin Wei , Vallerya Acuna
TEC CEM Torta de Chilaquil	3rd	Opening Government	View Ballot	Varun LodayaⒸ , Justin Wu
UWODS CL	4th	Opening Opposition	View Ballot	Varun LodayaⒸ , Justin Wu
Stanford LS	2nd	Closing Government	View Ballot	Varun LodayaⒸ , Justin Wu
Kalavagunta and Lu	1st	Closing Opposition	View Ballot	Varun LodayaⒸ , Justin Wu
TECTOL-UAEMEX	3rd	Opening Government	View Ballot	Eric TuⒸ , Celine Nghiem , Vanessa Arroyo
Red Raider Debaters	2nd	Opening Opposition	View Ballot	Eric TuⒸ , Celine Nghiem , Vanessa Arroyo
Columbia B	4th	Closing Government	View Ballot	Eric TuⒸ , Celine Nghiem , Vanessa Arroyo
/the/ mini eggs !	1st	Closing Opposition	View Ballot	Eric TuⒸ , Celine Nghiem , Vanessa Arroyo
Yale NS	1st	Opening Government	View Ballot	William ZhangⒸ , Andy Yescas , Cayden Pocrass
Middlebury SG	4th	Opening Opposition	View Ballot	William ZhangⒸ , Andy Yescas , Cayden Pocrass
MLE Choppa	3rd	Closing Government	View Ballot	William ZhangⒸ , Andy Yescas , Cayden Pocrass
UCBerkeley HE	2nd	Closing Opposition	View Ballot	William ZhangⒸ , Andy Yescas , Cayden Pocrass


team	result	side	ballot	adjudicators
Red Raider Debaters	4th	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Preethi Mohan , Eric Guadarrama CruzⓉ
HH VAMOSSSSSS	1st	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Preethi Mohan , Eric Guadarrama CruzⓉ
Alberta A	2nd	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Preethi Mohan , Eric Guadarrama CruzⓉ
TEC CEM Quesadillas &lt;3	3rd	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Preethi Mohan , Eric Guadarrama CruzⓉ
Rochester IN	2nd	Opening Government	View Ballot	Eric TuⒸ , Arturo Aubry , Vanessa Arroyo
UCBerkeley Blue	4th	Opening Opposition	View Ballot	Eric TuⒸ , Arturo Aubry , Vanessa Arroyo
Queen&#x27;s Lily Larkins	3rd	Closing Government	View Ballot	Eric TuⒸ , Arturo Aubry , Vanessa Arroyo
Harvard AL	1st	Closing Opposition	View Ballot	Eric TuⒸ , Arturo Aubry , Vanessa Arroyo
McGill RM	2nd	Opening Government	View Ballot	Juanita Hincapié RestrepoⒸ , Casey Powell , Emily Zhang
/the/ mini eggs !	4th	Opening Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Casey Powell , Emily Zhang
Stanford QF	3rd	Closing Government	View Ballot	Juanita Hincapié RestrepoⒸ , Casey Powell , Emily Zhang
HH The Last Dance	1st	Closing Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Casey Powell , Emily Zhang
Stanford AG	3rd	Opening Government	View Ballot	Varun LodayaⒸ , Celine Nghiem , Kenn JiangⓉ
Californication	2nd	Opening Opposition	View Ballot	Varun LodayaⒸ , Celine Nghiem , Kenn JiangⓉ
Yale LM	1st	Closing Government	View Ballot	Varun LodayaⒸ , Celine Nghiem , Kenn JiangⓉ
Dartmouth C	4th	Closing Opposition	View Ballot	Varun LodayaⒸ , Celine Nghiem , Kenn JiangⓉ
EDS A	2nd	Opening Government	View Ballot	Tanvir ShahriarⒸ , Ann Tran , Silin Wei , Nathaniel TesfayeⓉ
HWS B	3rd	Opening Opposition	View Ballot	Tanvir ShahriarⒸ , Ann Tran , Silin Wei , Nathaniel TesfayeⓉ
Welcome to the Hotel California	1st	Closing Government	View Ballot	Tanvir ShahriarⒸ , Ann Tran , Silin Wei , Nathaniel TesfayeⓉ
UCBerkeley AD	4th	Closing Opposition	View Ballot	Tanvir ShahriarⒸ , Ann Tran , Silin Wei , Nathaniel TesfayeⓉ
maybe I&#x27;m delusional ☝️ debate is 	2nd	Opening Government	View Ballot	Lelan HuⒸ , Kira Waldhalm , Sabás Alejandro Colmenares Lasnibat
HWS C	3rd	Opening Opposition	View Ballot	Lelan HuⒸ , Kira Waldhalm , Sabás Alejandro Colmenares Lasnibat
Technocratic communism	4th	Closing Government	View Ballot	Lelan HuⒸ , Kira Waldhalm , Sabás Alejandro Colmenares Lasnibat
Duke SZ	1st	Closing Opposition	View Ballot	Lelan HuⒸ , Kira Waldhalm , Sabás Alejandro Colmenares Lasnibat
TMX Jose y Luis	3rd	Opening Government	View Ballot	Molly CallaghanⒸ , Jorge Alberto Galindo Jasso , Jasmine Goncalves PimentⓉ
USC SW	2nd	Opening Opposition	View Ballot	Molly CallaghanⒸ , Jorge Alberto Galindo Jasso , Jasmine Goncalves PimentⓉ
TEC CEM Tacos de mixiote	4th	Closing Government	View Ballot	Molly CallaghanⒸ , Jorge Alberto Galindo Jasso , Jasmine Goncalves PimentⓉ
Middlebury SW	1st	Closing Opposition	View Ballot	Molly CallaghanⒸ , Jorge Alberto Galindo Jasso , Jasmine Goncalves PimentⓉ
McGill WA	2nd	Opening Government	View Ballot	Meg KandarpaⒸ , Natalia García , Brian Conde MartinezⓉ
Paradise City	3rd	Opening Opposition	View Ballot	Meg KandarpaⒸ , Natalia García , Brian Conde MartinezⓉ
UCBerkeley XK	1st	Closing Government	View Ballot	Meg KandarpaⒸ , Natalia García , Brian Conde MartinezⓉ
Columbia A	4th	Closing Opposition	View Ballot	Meg KandarpaⒸ , Natalia García , Brian Conde MartinezⓉ
HH $2.4 Million Settlement	3rd	Opening Government	View Ballot	Manuel MachorroⒸ , Audrey Melody , Muhammad AsfandyarⓉ
Stanford LS	1st	Opening Opposition	View Ballot	Manuel MachorroⒸ , Audrey Melody , Muhammad AsfandyarⓉ
TECTOL-UAEMEX	4th	Closing Government	View Ballot	Manuel MachorroⒸ , Audrey Melody , Muhammad AsfandyarⓉ
Queen&#x27;s Nimai Abernethy	2nd	Closing Opposition	View Ballot	Manuel MachorroⒸ , Audrey Melody , Muhammad AsfandyarⓉ
Last Hurrah	4th	Opening Government	View Ballot	Serena YuanⒸ , Hayley Cheung , Regina Delgado AcevedoⓉ
Harvard HS	3rd	Opening Opposition	View Ballot	Serena YuanⒸ , Hayley Cheung , Regina Delgado AcevedoⓉ
UBC TB	1st	Closing Government	View Ballot	Serena YuanⒸ , Hayley Cheung , Regina Delgado AcevedoⓉ
Harvard GM	2nd	Closing Opposition	View Ballot	Serena YuanⒸ , Hayley Cheung , Regina Delgado AcevedoⓉ
PandITAM	4th	Opening Government	View Ballot	Justin WuⒸ , Andy Yescas , Vallerya Acuna
María y Brisa	2nd	Opening Opposition	View Ballot	Justin WuⒸ , Andy Yescas , Vallerya Acuna
ITESM TOLUCA SS	3rd	Closing Government	View Ballot	Justin WuⒸ , Andy Yescas , Vallerya Acuna
Queen&#x27;s Annika Tucker	1st	Closing Opposition	View Ballot	Justin WuⒸ , Andy Yescas , Vallerya Acuna
UWODS CL	2nd	Opening Government	View Ballot	Arturo Serrano BorreroⒸ , Felix Leonhardt
TEC CEM Chile Relleno	1st	Opening Opposition	View Ballot	Arturo Serrano BorreroⒸ , Felix Leonhardt
Middlebury SG	4th	Closing Government	View Ballot	Arturo Serrano BorreroⒸ , Felix Leonhardt
Stanford BZ	3rd	Closing Opposition	View Ballot	Arturo Serrano BorreroⒸ , Felix Leonhardt
California girls, we&#x27;re unforgetta	2nd	Opening Government	View Ballot	Isolda VelaⒸ , Daksha Pillai
Yale ST	3rd	Opening Opposition	View Ballot	Isolda VelaⒸ , Daksha Pillai
Yale DG	1st	Closing Government	View Ballot	Isolda VelaⒸ , Daksha Pillai
2 of Amerikaz Most Wanted	4th	Closing Opposition	View Ballot	Isolda VelaⒸ , Daksha Pillai
UCBerkeley HE	4th	Opening Government	View Ballot	Fernanda Crousillat RayterⒸ , Greg Kwok
HH Xi Simping	2nd	Opening Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Greg Kwok
Swarthmore A	3rd	Closing Government	View Ballot	Fernanda Crousillat RayterⒸ , Greg Kwok
Dartmouth A	1st	Closing Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Greg Kwok
Columbia B	4th	Opening Government	View Ballot	William ZhangⒸ , William Chen
Stanford BD	2nd	Opening Opposition	View Ballot	William ZhangⒸ , William Chen
USC LD	3rd	Closing Government	View Ballot	William ZhangⒸ , William Chen
SCREEE	1st	Closing Opposition	View Ballot	William ZhangⒸ , William Chen
UWODS A	2nd	Opening Government	View Ballot	Elgin LinⒸ , Jack Morgenstein , Nitin Alagu
Yale NS	1st	Opening Opposition	View Ballot	Elgin LinⒸ , Jack Morgenstein , Nitin Alagu
HWS A	3rd	Closing Government	View Ballot	Elgin LinⒸ , Jack Morgenstein , Nitin Alagu
Stanford TY	4th	Closing Opposition	View Ballot	Elgin LinⒸ , Jack Morgenstein , Nitin Alagu
HH Whose gonna carry the boat?!	2nd	Opening Government	View Ballot	Pranav AnandⒸ , Ken Tieu , Stephanie Chen
Stanford CT	3rd	Opening Opposition	View Ballot	Pranav AnandⒸ , Ken Tieu , Stephanie Chen
Kalavagunta and Lu	1st	Closing Government	View Ballot	Pranav AnandⒸ , Ken Tieu , Stephanie Chen
McGill LT	4th	Closing Opposition	View Ballot	Pranav AnandⒸ , Ken Tieu , Stephanie Chen
Dartmouth B	4th	Opening Government	View Ballot	Rohan GodaⒸ , Gianluca Lo Porto
TEC CEM Torta de Chilaquil	2nd	Opening Opposition	View Ballot	Rohan GodaⒸ , Gianluca Lo Porto
USC BK	3rd	Closing Government	View Ballot	Rohan GodaⒸ , Gianluca Lo Porto
MLE Choppa	1st	Closing Opposition	View Ballot	Rohan GodaⒸ , Gianluca Lo Porto
Stanford KR	3rd	Opening Government	View Ballot	Anette XiaⒸ , James Lewis
TMX Azulitos	2nd	Opening Opposition	View Ballot	Anette XiaⒸ , James Lewis
Middlebury SM	4th	Closing Government	View Ballot	Anette XiaⒸ , James Lewis
Columbia C	1st	Closing Opposition	View Ballot	Anette XiaⒸ , James Lewis


team	result	side	ballot	adjudicators
UBC TB	3rd	Opening Government	View Ballot	Manuel MachorroⒸ , Molly Callaghan
UWODS A	1st	Opening Opposition	View Ballot	Manuel MachorroⒸ , Molly Callaghan
HH The Last Dance	4th	Closing Government	View Ballot	Manuel MachorroⒸ , Molly Callaghan
Yale NS	2nd	Closing Opposition	View Ballot	Manuel MachorroⒸ , Molly Callaghan
UCBerkeley XK	4th	Opening Government	View Ballot	Juanita Hincapié RestrepoⒸ , Greg Kwok , Sabás Alejandro Colmenares Lasnibat
Kalavagunta and Lu	1st	Opening Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Greg Kwok , Sabás Alejandro Colmenares Lasnibat
HH Whose gonna carry the boat?!	3rd	Closing Government	View Ballot	Juanita Hincapié RestrepoⒸ , Greg Kwok , Sabás Alejandro Colmenares Lasnibat
Yale DG	2nd	Closing Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Greg Kwok , Sabás Alejandro Colmenares Lasnibat
SCREEE	4th	Opening Government	View Ballot	Justin WuⒸ , Ann Tran , Jorge Alberto Galindo JassoⓉ
Rochester IN	2nd	Opening Opposition	View Ballot	Justin WuⒸ , Ann Tran , Jorge Alberto Galindo JassoⓉ
Yale ST	1st	Closing Government	View Ballot	Justin WuⒸ , Ann Tran , Jorge Alberto Galindo JassoⓉ
HWS B	3rd	Closing Opposition	View Ballot	Justin WuⒸ , Ann Tran , Jorge Alberto Galindo JassoⓉ
Harvard HS	1st	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Casey Powell , Vanessa Arroyo
Harvard AL	2nd	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Casey Powell , Vanessa Arroyo
/the/ mini eggs !	4th	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Casey Powell , Vanessa Arroyo
California girls, we&#x27;re unforgetta	3rd	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Casey Powell , Vanessa Arroyo
Columbia C	1st	Opening Government	View Ballot	Serena YuanⒸ , Gianluca Lo Porto
EDS A	2nd	Opening Opposition	View Ballot	Serena YuanⒸ , Gianluca Lo Porto
maybe I&#x27;m delusional ☝️ debate is 	4th	Closing Government	View Ballot	Serena YuanⒸ , Gianluca Lo Porto
Paradise City	3rd	Closing Opposition	View Ballot	Serena YuanⒸ , Gianluca Lo Porto
USC SW	4th	Opening Government	View Ballot	Audrey MelodyⒸ , Cayden Pocrass , Jack Morgenstein
Stanford KR	2nd	Opening Opposition	View Ballot	Audrey MelodyⒸ , Cayden Pocrass , Jack Morgenstein
Stanford BD	1st	Closing Government	View Ballot	Audrey MelodyⒸ , Cayden Pocrass , Jack Morgenstein
USC BK	3rd	Closing Opposition	View Ballot	Audrey MelodyⒸ , Cayden Pocrass , Jack Morgenstein
Columbia A	3rd	Opening Government	View Ballot	Eric TuⒸ , Nathaniel Tesfaye , Muhammad AsfandyarⓉ
UCBerkeley HE	2nd	Opening Opposition	View Ballot	Eric TuⒸ , Nathaniel Tesfaye , Muhammad AsfandyarⓉ
2 of Amerikaz Most Wanted	1st	Closing Government	View Ballot	Eric TuⒸ , Nathaniel Tesfaye , Muhammad AsfandyarⓉ
Red Raider Debaters	4th	Closing Opposition	View Ballot	Eric TuⒸ , Nathaniel Tesfaye , Muhammad AsfandyarⓉ
TEC CEM Tacos de mixiote	4th	Opening Government	View Ballot	Valerie PangⒸ , William Chen , Eric Guadarrama CruzⓉ
Dartmouth B	3rd	Opening Opposition	View Ballot	Valerie PangⒸ , William Chen , Eric Guadarrama CruzⓉ
UCBerkeley Blue	1st	Closing Government	View Ballot	Valerie PangⒸ , William Chen , Eric Guadarrama CruzⓉ
Columbia B	2nd	Closing Opposition	View Ballot	Valerie PangⒸ , William Chen , Eric Guadarrama CruzⓉ
Stanford LS	2nd	Opening Government	View Ballot	Fernanda Crousillat RayterⒸ , Celine Nghiem , James LewisⓉ
McGill RM	1st	Opening Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Celine Nghiem , James LewisⓉ
Harvard GM	4th	Closing Government	View Ballot	Fernanda Crousillat RayterⒸ , Celine Nghiem , James LewisⓉ
McGill WA	3rd	Closing Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Celine Nghiem , James LewisⓉ
HWS A	2nd	Opening Government	View Ballot	Isolda VelaⒸ , Silin Wei , Brian Conde MartinezⓉ
Stanford QF	1st	Opening Opposition	View Ballot	Isolda VelaⒸ , Silin Wei , Brian Conde MartinezⓉ
Duke SZ	3rd	Closing Government	View Ballot	Isolda VelaⒸ , Silin Wei , Brian Conde MartinezⓉ
Yale LM	4th	Closing Opposition	View Ballot	Isolda VelaⒸ , Silin Wei , Brian Conde MartinezⓉ
Stanford TY	3rd	Opening Government	View Ballot	Elgin LinⒸ , Ken Tieu , Vallerya AcunaⓉ
TEC CEM Quesadillas &lt;3	2nd	Opening Opposition	View Ballot	Elgin LinⒸ , Ken Tieu , Vallerya AcunaⓉ
TEC CEM Chile Relleno	4th	Closing Government	View Ballot	Elgin LinⒸ , Ken Tieu , Vallerya AcunaⓉ
Californication	1st	Closing Opposition	View Ballot	Elgin LinⒸ , Ken Tieu , Vallerya AcunaⓉ
USC LD	2nd	Opening Government	View Ballot	William ZhangⒸ , Andy Yescas , Arturo AubryⓉ
Middlebury SM	3rd	Opening Opposition	View Ballot	William ZhangⒸ , Andy Yescas , Arturo AubryⓉ
Dartmouth C	4th	Closing Government	View Ballot	William ZhangⒸ , Andy Yescas , Arturo AubryⓉ
Middlebury SG	1st	Closing Opposition	View Ballot	William ZhangⒸ , Andy Yescas , Arturo AubryⓉ
Stanford BZ	3rd	Opening Government	View Ballot	Arturo Serrano BorreroⒸ , Emily Zhang , Regina Delgado AcevedoⓉ
TMX Jose y Luis	1st	Opening Opposition	View Ballot	Arturo Serrano BorreroⒸ , Emily Zhang , Regina Delgado AcevedoⓉ
TECTOL-UAEMEX	4th	Closing Government	View Ballot	Arturo Serrano BorreroⒸ , Emily Zhang , Regina Delgado AcevedoⓉ
PandITAM	2nd	Closing Opposition	View Ballot	Arturo Serrano BorreroⒸ , Emily Zhang , Regina Delgado AcevedoⓉ
UCBerkeley AD	1st	Opening Government	View Ballot	Lelan HuⒸ , Jasmine Goncalves Piment , Stephanie Chen
Stanford AG	3rd	Opening Opposition	View Ballot	Lelan HuⒸ , Jasmine Goncalves Piment , Stephanie Chen
UWODS CL	2nd	Closing Government	View Ballot	Lelan HuⒸ , Jasmine Goncalves Piment , Stephanie Chen
Technocratic communism	4th	Closing Opposition	View Ballot	Lelan HuⒸ , Jasmine Goncalves Piment , Stephanie Chen
Middlebury SW	3rd	Opening Government	View Ballot	Varun LodayaⒸ , Nitin Alagu
Swarthmore A	2nd	Opening Opposition	View Ballot	Varun LodayaⒸ , Nitin Alagu
Queen&#x27;s Annika Tucker	4th	Closing Government	View Ballot	Varun LodayaⒸ , Nitin Alagu
Last Hurrah	1st	Closing Opposition	View Ballot	Varun LodayaⒸ , Nitin Alagu
Stanford CT	2nd	Opening Government	View Ballot	Rohan GodaⒸ , Felix Leonhardt , Hayley Cheung
MLE Choppa	3rd	Opening Opposition	View Ballot	Rohan GodaⒸ , Felix Leonhardt , Hayley Cheung
Queen&#x27;s Nimai Abernethy	1st	Closing Government	View Ballot	Rohan GodaⒸ , Felix Leonhardt , Hayley Cheung
TMX Azulitos	4th	Closing Opposition	View Ballot	Rohan GodaⒸ , Felix Leonhardt , Hayley Cheung
McGill LT	4th	Opening Government	View Ballot	Daksha PillaiⒸ , Preethi Mohan , Kenn JiangⓉ
Alberta A	1st	Opening Opposition	View Ballot	Daksha PillaiⒸ , Preethi Mohan , Kenn JiangⓉ
HH $2.4 Million Settlement	3rd	Closing Government	View Ballot	Daksha PillaiⒸ , Preethi Mohan , Kenn JiangⓉ
TEC CEM Torta de Chilaquil	2nd	Closing Opposition	View Ballot	Daksha PillaiⒸ , Preethi Mohan , Kenn JiangⓉ
HH VAMOSSSSSS	3rd	Opening Government	View Ballot	Pranav AnandⒸ , Natalia García
Welcome to the Hotel California	2nd	Opening Opposition	View Ballot	Pranav AnandⒸ , Natalia García
Dartmouth A	1st	Closing Government	View Ballot	Pranav AnandⒸ , Natalia García
HH Xi Simping	4th	Closing Opposition	View Ballot	Pranav AnandⒸ , Natalia García
Queen&#x27;s Lily Larkins	1st	Opening Government	View Ballot	Anette XiaⒸ , Kira Waldhalm
ITESM TOLUCA SS	2nd	Opening Opposition	View Ballot	Anette XiaⒸ , Kira Waldhalm
HWS C	3rd	Closing Government	View Ballot	Anette XiaⒸ , Kira Waldhalm
María y Brisa	4th	Closing Opposition	View Ballot	Anette XiaⒸ , Kira Waldhalm


team	result	side	ballot	adjudicators
Welcome to the Hotel California	4th	Opening Government	View Ballot	Lelan HuⒸ , Jorge Alberto Galindo Jasso , Varun Lodaya
Queen&#x27;s Nimai Abernethy	3rd	Opening Opposition	View Ballot	Lelan HuⒸ , Jorge Alberto Galindo Jasso , Varun Lodaya
EDS A	2nd	Closing Government	View Ballot	Lelan HuⒸ , Jorge Alberto Galindo Jasso , Varun Lodaya
Stanford QF	1st	Closing Opposition	View Ballot	Lelan HuⒸ , Jorge Alberto Galindo Jasso , Varun Lodaya
TEC CEM Chile Relleno	1st	Opening Government	View Ballot	Valerie PangⒸ , Arturo Aubry , Jasmine Goncalves Piment
USC BK	2nd	Opening Opposition	View Ballot	Valerie PangⒸ , Arturo Aubry , Jasmine Goncalves Piment
Queen&#x27;s Annika Tucker	3rd	Closing Government	View Ballot	Valerie PangⒸ , Arturo Aubry , Jasmine Goncalves Piment
maybe I&#x27;m delusional ☝️ debate is 	4th	Closing Opposition	View Ballot	Valerie PangⒸ , Arturo Aubry , Jasmine Goncalves Piment
HWS B	2nd	Opening Government	View Ballot	Casey PowellⒸ , Eric Guadarrama Cruz , Preethi Mohan
Yale LM	3rd	Opening Opposition	View Ballot	Casey PowellⒸ , Eric Guadarrama Cruz , Preethi Mohan
Stanford TY	4th	Closing Government	View Ballot	Casey PowellⒸ , Eric Guadarrama Cruz , Preethi Mohan
HH $2.4 Million Settlement	1st	Closing Opposition	View Ballot	Casey PowellⒸ , Eric Guadarrama Cruz , Preethi Mohan
Dartmouth A	2nd	Opening Government	View Ballot	Fernanda Crousillat RayterⒸ , Vallerya Acuna , William Zhang
Yale DG	4th	Opening Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Vallerya Acuna , William Zhang
Harvard HS	3rd	Closing Government	View Ballot	Fernanda Crousillat RayterⒸ , Vallerya Acuna , William Zhang
Stanford LS	1st	Closing Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Vallerya Acuna , William Zhang
Paradise City	2nd	Opening Government	View Ballot	Juanita Hincapié RestrepoⒸ , Muhammad Asfandyar , Silin Wei
Queen&#x27;s Lily Larkins	3rd	Opening Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Muhammad Asfandyar , Silin Wei
TEC CEM Quesadillas &lt;3	4th	Closing Government	View Ballot	Juanita Hincapié RestrepoⒸ , Muhammad Asfandyar , Silin Wei
Stanford BD	1st	Closing Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Muhammad Asfandyar , Silin Wei
HH Whose gonna carry the boat?!	3rd	Opening Government	View Ballot	Meg KandarpaⒸ , Regina Delgado Acevedo , Rohan Goda
HWS A	1st	Opening Opposition	View Ballot	Meg KandarpaⒸ , Regina Delgado Acevedo , Rohan Goda
HH VAMOSSSSSS	4th	Closing Government	View Ballot	Meg KandarpaⒸ , Regina Delgado Acevedo , Rohan Goda
Stanford CT	2nd	Closing Opposition	View Ballot	Meg KandarpaⒸ , Regina Delgado Acevedo , Rohan Goda
ITESM TOLUCA SS	2nd	Opening Government	View Ballot	Felix LeonhardtⒸ , Jack Morgenstein
SCREEE	4th	Opening Opposition	View Ballot	Felix LeonhardtⒸ , Jack Morgenstein
McGill LT	3rd	Closing Government	View Ballot	Felix LeonhardtⒸ , Jack Morgenstein
Stanford KR	1st	Closing Opposition	View Ballot	Felix LeonhardtⒸ , Jack Morgenstein
Duke SZ	3rd	Opening Government	View Ballot	Molly CallaghanⒸ , Ann Tran , Vanessa Arroyo
2 of Amerikaz Most Wanted	4th	Opening Opposition	View Ballot	Molly CallaghanⒸ , Ann Tran , Vanessa Arroyo
UCBerkeley AD	1st	Closing Government	View Ballot	Molly CallaghanⒸ , Ann Tran , Vanessa Arroyo
Swarthmore A	2nd	Closing Opposition	View Ballot	Molly CallaghanⒸ , Ann Tran , Vanessa Arroyo
Middlebury SM	2nd	Opening Government	View Ballot	Natalia GarcíaⒸ , Cayden Pocrass , Hayley Cheung
Stanford BZ	3rd	Opening Opposition	View Ballot	Natalia GarcíaⒸ , Cayden Pocrass , Hayley Cheung
Red Raider Debaters	4th	Closing Government	View Ballot	Natalia GarcíaⒸ , Cayden Pocrass , Hayley Cheung
PandITAM	1st	Closing Opposition	View Ballot	Natalia GarcíaⒸ , Cayden Pocrass , Hayley Cheung
HH Xi Simping	2nd	Opening Government	View Ballot	Greg KwokⒸ , Eric Tu , Ken Tieu
Middlebury SW	4th	Opening Opposition	View Ballot	Greg KwokⒸ , Eric Tu , Ken Tieu
UCBerkeley HE	3rd	Closing Government	View Ballot	Greg KwokⒸ , Eric Tu , Ken Tieu
UWODS CL	1st	Closing Opposition	View Ballot	Greg KwokⒸ , Eric Tu , Ken Tieu
